ID,Name,Surname,Email,Address,Phone Number
1,John,Doe,user1@example.com,"123 Main St, City1",555-123001
2,Jane,Smith,user2@example.com,"123 Main St, City2",555-123002
3,Dave,Brown,user3@example.com,"123 Main St, City3",555-123003
4,Sarah,Wilson,user4@example.com,"123 Main St, City4",555-123004
5,Michael,Johnson,user5@example.com,"123 Main St, City5",555-123005
6,Karen,Taylor,user6@example.com,"123 Main St, City6",555-123006
7,Robert,Lee,user7@example.com,"123 Main St, City7",555-123007
8,Monica,Garcia,user8@example.com,"123 Main St, City8",555-123008
9,Charles,Martinez,user9@example.com,"123 Main St, City9",555-123009
10,Sophia,Anderson,user10@example.com,"123 Main St, City10",555-123010
